,CustomID,A,B,C,D,A1,A2,A3,A4,B1,B2,B3,B4,C1,D1,D2,group
0,C00001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
1,C00002,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
2,C00003,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
3,C00004,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
4,C00005,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
5,C00006,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
6,C00007,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
7,C00008,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
8,C00009,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
9,C00010,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
10,C00011,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
11,C00012,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
12,C00013,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
13,C00014,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
14,C00015,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
15,C00016,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
16,C00017,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
17,C00018,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
18,C00019,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
19,C00020,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
20,C00021,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
21,C00022,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
22,C00023,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
23,C00024,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
24,C00025,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
25,C00026,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
26,C00027,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
27,C00028,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
28,C00029,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
29,C00030,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
30,C00031,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
31,C00032,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
32,C00033,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
33,C00034,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
34,C00035,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5
